dynamicColors	mergedColors
ARHGEF38	grey	grey
ARHGEF39	blue	blue
ARHGEF4	grey	grey
ARHGEF40	grey	grey
ARHGEF5	turquoise	pink
ARHGEF6	yellow	magenta
ARHGEF7	turquoise	pink
ARHGEF9	turquoise	pink
ARID1A	turquoise	pink
ARID1B	turquoise	pink
ARID2	turquoise	pink
ARID3A	turquoise	pink
ARID3B	turquoise	pink
ARID4A	turquoise	pink
ARID4B	turquoise	pink
ARID5A	yellow	magenta
ARID5B	turquoise	pink
ARIH1	turquoise	pink
ARIH2	turquoise	pink
ARIH2OS	grey	grey
ARL1	blue	blue
ARL10	green	green
ARL11	yellow	magenta
ARL13B	pink	pink
ARL14	grey	grey
ARL14EP	turquoise	pink
ARL15	grey	grey
ARL17A	brown	brown
ARL3	grey	grey
ARL4C	grey	grey
ARL4D	grey	grey
ARL5A	turquoise	pink
ARL5B	blue	blue
ARL6	pink	pink
ARL6IP1	blue	blue
ARL6IP5	grey	grey
ARL6IP6	blue	blue
ARL8B	turquoise	pink
ARL9	grey	grey
ARMC1	blue	blue
ARMC10	blue	blue
ARMC12	grey	grey
ARMC2	black	black
ARMC3	black	black
ARMC4	black	black
ARMC5	brown	brown
ARMC6	turquoise	pink
ARMC7	turquoise	pink
ARMC8	pink	pink
ARMC9	grey	grey
ARMCX1	grey	grey
ARMCX2	grey	grey
ARMCX3	turquoise	pink
ARMCX4	brown	brown
ARMCX5	turquoise	pink
ARNT	turquoise	pink
ARNT2	grey	grey
ARNTL	grey	grey
ARNTL2	blue	blue
ARPC2	pink	pink
ARPC4	grey	grey
ARPC5	grey	grey
ARPC5L	turquoise	pink
ARPIN	turquoise	pink
ARPP19	turquoise	pink
ARR3	brown	brown
ARRB1	turquoise	pink
ARRB2	yellow	magenta
ARRDC1	brown	brown
ARRDC2	grey	grey
ARRDC3	turquoise	pink
ARRDC4	yellow	magenta
ARSA	brown	brown
ARSB	yellow	magenta
ARSD	grey	grey
ARSI	green	green
ARSJ	grey	grey
ARSK	turquoise	pink
ART1	grey	grey
ART3	grey	grey
ART4	red	red
ART5	grey	grey
ARTN	grey	grey
ARV1	grey	grey
ARVCF	brown	brown
ARX	grey	grey
ASAH1	grey	grey
ASAP1	pink	pink
ASAP3	turquoise	pink
ASB1	turquoise	pink
ASB11	grey	grey
ASB12	grey	grey
ASB13	grey	grey
ASB14	brown	brown
ASB16	brown	brown
ASB2	magenta	magenta
ASB4	grey	grey
ASB5	grey	grey
ASB6	turquoise	pink
ASB7	turquoise	pink
